fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,Cahuachi,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Chincha,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Cutervo,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Valledel,Yarabamb,Yura,Zorritos,HuarazO,GE1,CTRefTal
2024-01-04 00:30,36.27,17.71,154.58,2.38,84.6,129.11,104.49,23.46,1.98,0.73,9.48,179.32,161.75,155.68,7.51,85,0.96,17.32,-11.48,0,13.77,22.35,7.2,9.35,21.48,0,0,0,9.76,0.56,41.64,7.96,10.18,30.46,1.94,25.64,30.97,162.18,7.96,5.55,9.09,23.05,39.96,11.69,2.82,5.86,24.35,21.58,14.8,237.31,86.34,49.86,41.01,16.55,139.39,2.44,41.3,40.49,34.16,5.46,0.52,-11.27,85.36,22.22,16.99,37.68,19.6,85.66,8.06,22.04,0.01,40.36,4.62,24.06,55.2,5.86,-16.6,-2.81,10.83,14.31,78.48,-6.86,38.74,44.08,9.37,60.36,53.29,33.77,19.45,1.48,19.71,22.95,57.67,23.5,2.93,5.42,3.85,21.82,0,4.58,9.21,93.73,29.62,29.91,1.95,13.66,54.07,18.15,58.36,44.34,8.02,16.32,7.64,5.22,27,-0.14,6.49,3.79,5.46,12.43,27.33,48.39,140.91,15.12,34.8,10.69,112.36,4.51,60.82,37.09,22,12.08,34.74,12.03,13.38,9.38,15.31,10.63,5.33,63.25,31.84,0,174.54,200.75,4.86,28.45,13.46,18.18,44.55,31.68,64.64,60.53,123.03,20.53,12.39,7.78,20.88,21.14,3.83,25.71,6.41,0.75,131.96,165.47,15.03,22.2,13.66,9.56,30.3,29.32,,,
2024-01-04 01:00,34.92,16.47,156.57,2.5,82.95,123.98,100.07,23.95,1.83,0.83,9.73,169.88,159.51,148.78,7.72,86.81,1.01,15.26,-10.86,0,12.62,23.06,6.85,10.24,22.36,0,0,0,9.72,0.77,40.65,7.65,10.2,30.53,1.64,25.53,31.49,161.08,7.67,5.37,9.69,21.27,39.77,10.86,2.38,5.87,25.01,20.88,14.47,227.54,81.55,49.71,40.93,15.51,134.87,0.15,82.39,39.35,34.86,5.67,0.55,-11.68,85.1,22.56,15.77,33.47,18.23,78.5,8.54,22.59,-0.41,39.39,4.42,23.98,55.37,5.01,-16.56,-3.06,11.58,13.61,72.34,-7.42,43.4,42.57,8.86,69.51,51.18,34.77,18.83,1.4,19.04,21.73,57.29,23.47,3.18,5.24,6.19,20.7,0,4.34,8.88,91.21,28.27,31.73,1.83,12.64,54.89,18.4,49.36,44.81,7.95,16.03,7.19,4.66,25.61,-0.11,6.09,3.98,4.99,11.9,26.28,45.03,136.8,13.26,34.31,9.61,105.67,3.84,59.09,36.15,20.02,11.7,32.85,11.4,9.17,9.67,14.83,10.5,5.39,59.86,30.04,0,166.32,218.53,4.52,28.21,12.81,17.13,42.81,30.34,61.28,59.86,122.67,19.93,11.59,7.04,21.83,20.85,3.6,25.83,6.12,0.7,134.23,156.62,14.84,22.69,13.12,9.39,28.74,26.72,,,
2024-01-04 01:30,35.87,15.64,97.03,2.21,81.42,126.13,102.3,24.15,1.9,1.05,9.97,161.63,103.06,141.38,7.36,81.48,0.85,15.46,-10.82,0,12.45,20.56,6.2,9.54,22.35,0,0,0,8.47,0.64,43.62,7.62,10.18,30.1,1.68,25.34,31.66,163.18,7.71,5.28,9.65,21.39,39.7,11.1,2.41,5.92,25.65,20.14,13.95,218.58,78.65,45.55,41.38,14.91,130.88,0.85,37.16,38.13,33.59,5.81,0.12,-11.72,85.18,22.78,16.1,35.58,16.91,84.88,8.43,22.57,-0.59,40.07,4.43,24,54.41,5.92,-17.12,-3.9,10.63,12.97,70.71,-8.56,39.32,42.37,8.58,64.17,49.94,32.49,18.56,1.28,19.28,21.7,57.77,23.88,3.2,5.48,7.01,19.55,0,4.25,8.71,87.28,27.56,27.39,1.81,12.65,55.26,20.61,49.7,45.73,7.93,14.97,7.74,4.35,25.6,-0.01,5.92,4.28,5.45,11.67,25.77,42.54,142.64,12.36,35.36,9.88,103.33,3.86,57.04,35.5,19.08,11.22,32.12,11.1,12.91,9.24,14.05,10.5,5.03,58.02,29.37,0,158.49,221.45,4.07,28.47,12.87,16.08,42.17,29.03,60.05,57.56,123.24,19.66,11.1,7.12,20.81,22.85,3.47,26.4,5.94,0.84,129.33,154.8,14.92,24.04,12.17,9.99,28.58,25.81,,,
2024-01-04 02:00,37.82,16.12,154.72,2.35,84.25,122.17,104.11,23.53,1.71,1.08,9.39,158.77,92.67,137.18,7.65,86.33,1.06,14.59,-10.61,0,10.83,23.19,5.95,9.59,21.76,0,0,0,8.61,0.73,43.02,7.59,10.24,29.46,0.89,25.21,30.36,127.28,7.29,5.35,9.79,20.74,39.81,12.02,9.31,5.88,25.27,19.8,13.7,213.09,77.1,47.77,40.94,14.58,129.99,0.24,40.07,37.08,34.15,5.06,0.12,-10.09,84.56,23.25,15.45,34.78,17.33,85.26,7.82,20.84,-1.34,39.88,4.59,25.28,52.4,5.26,-16.39,-4.4,9.82,12.5,68.78,-8.8,38.2,43.03,8.38,64.73,47.26,33.25,17.72,1.36,19.18,21.96,57.48,23.62,2.95,5.51,5.97,19.09,0,4.08,8.71,83.44,25.39,24.99,1.73,13.12,55.21,20.7,52.2,45.56,7.82,14.56,7.66,4.43,25.05,0.07,5.99,4.08,5.26,11.48,25.42,41.3,135.92,12.86,35.44,10.14,101.65,3.49,56.51,34.75,18.17,10.77,31.85,10.98,4.18,9.7,13.14,10.51,4.86,56.54,28.16,0,154.95,228.14,4.24,28.92,12.12,15.7,40.8,28.83,58.31,54.5,122.76,19.49,10.58,6.79,19.92,22.01,3.46,26.09,6.17,0.75,149.65,151.33,15.1,24.68,11.44,9.6,27.24,24.91,,,
2024-01-04 02:30,34.34,15.82,127.01,2.18,83.9,124.02,101.73,24.94,1.56,1.05,9.5,154.37,158.95,134.56,7.49,83.53,1.06,14.4,-11.66,0,11.03,23.74,6.22,9.85,21.76,0,0,0,8.74,1.04,43.5,7.56,10.23,25.16,0.82,25.73,29.88,128.33,7.83,5.07,10.14,21.34,40.11,11.31,2.49,5.96,24.96,21.38,13.86,208.97,74.41,46.42,41.68,14.35,127.33,0.57,38.2,36.47,33.4,6.29,0.45,-11.38,86.18,22.02,14.98,36.15,19.56,85.16,8.69,23.26,-0.73,38.16,4.37,25.47,53.31,5.26,-17.07,-5.15,10.21,11.96,68.15,-9.94,36.54,42.84,8.05,65.85,49.59,33.32,17.88,1.28,18.39,23.49,57.51,23.94,2.82,5.79,5.58,18.32,0,3.97,8.51,80.88,23.52,23.03,1.78,12.64,53.8,19.49,52.53,47.85,7.73,14.45,6.75,4.35,24.3,-0.57,6.04,4.19,5.36,11.28,25.26,40.69,141.1,13.9,35.26,9.78,100.08,4.27,55.66,35.14,17.54,10.65,31.35,10.92,3.27,9.37,11.38,10.42,4.86,55.48,27.89,0,152.05,220.83,4.51,28.65,11.59,16.3,40.07,28.72,57.85,52.74,122.52,19.55,10.24,7.17,19.86,22.83,3.24,26.63,6.19,0.44,152.77,148.49,15.48,22.74,11.51,9.93,29.45,23.9,,,
2024-01-04 03:00,35.91,17.13,122.73,2.16,83.41,132.2,103.06,22.4,1.49,1.23,9.3,153.23,162.82,132.48,7.42,80.4,0.96,14.73,-11.03,0,10.24,24.54,6.5,9.74,21.73,0,0,0,8,0.59,43.8,7.47,10.19,26.52,0.77,25.97,31.16,129.75,7.46,5.12,10.5,22.99,40.2,11.35,2.51,5.86,25.23,19.86,13.54,205.6,72.39,44.53,41.15,14.01,124.65,0.26,61.64,35.46,33.63,5.45,0.09,-9.67,85.56,23.38,14.24,33.86,17.95,84.62,7.47,23.26,-1.34,38.05,4.34,25.31,53.38,5.6,-17.4,2.12,9.94,11.83,66.23,-10.64,39.62,41.89,7.76,68.58,48.96,33.06,17.59,1.24,18.23,21.85,57.18,23.99,2.85,5.27,7.66,14.9,0,4.13,8.47,80.85,22.81,22.58,1.59,12.81,55.1,19.52,48.27,47.97,7.63,14.5,6.45,5.03,23.81,-0.1,6.31,4.14,5.93,11.14,25.65,40.22,138.89,14.58,35.38,9.37,98.93,3.93,56.6,36.74,17.09,10.45,31.06,10.82,11.93,9.75,11.19,10.47,5.3,54.47,27.37,0,149.07,229.16,4.51,27.86,12.12,15.67,39.36,28.45,55.98,51.23,123.57,19.87,9.85,6.8,19.36,22.83,3.32,26.18,5.57,0.55,157.53,146.94,15.36,23.25,10.92,10.13,31.32,23.75,,,
2024-01-04 03:30,36.56,17.03,145.1,2.44,84.07,123.75,104.54,23.65,1.8,1.13,9.13,149.9,166.42,129.38,7.66,76.62,0.91,13.79,-11,0,10.38,21.96,5.68,9.63,22.26,0,0,0,7.92,0.6,44.73,7.44,10.21,26.05,1.08,25.04,32.12,129.97,8.07,5.05,9.41,20.39,39.92,10.9,2.36,5.74,25.18,20.01,13.06,202.67,72.04,45.65,41.41,13.95,124.1,0.28,40.8,35.99,33.42,5.7,0.38,-10.72,85.49,22.64,13.67,35.64,18.27,88.32,8.04,25.57,-1.26,38.77,4.16,25.33,52.62,5.85,-15.82,-4.55,9.57,11.87,64.95,-10.5,36.71,44,7.79,65.48,48.75,31.94,17.37,1.28,18.4,22.87,57.37,21.42,3.14,5.84,6.08,17.95,0,4.32,8.86,79.67,24.04,26.04,1.72,12.9,53.74,20.55,48.32,44.81,7.64,14.39,6.49,5.23,25.27,-0.71,6.05,4.67,5.58,10.96,25.79,39.64,145.77,13.24,35.45,10.15,98.78,4,56.87,35.64,16.71,10.36,31.18,10.82,13.57,9.85,11.23,10.49,4.95,54.29,27.48,0,149.17,226.53,4.26,28.48,12.43,15.92,39.88,28.22,55.66,51.5,124.32,19.88,9.8,6.75,19.28,21.74,3.62,26.09,4.58,0.36,157.75,146.86,15.27,23.24,10.95,9.53,31.03,23.59,,,
2024-01-04 04:00,37.16,16.44,52.72,2.34,82.25,128.38,106.47,24.13,1.52,1.01,10.1,149.77,163.35,132.88,7.63,83.91,0.81,14.21,-11.23,0,10.12,22.75,5.08,9.38,22.1,0,0,0,7.98,0.5,44.64,7.32,10.21,30.2,1.12,25.22,31.44,126.57,8.16,5.06,10.06,20.42,40.22,10.66,2.16,5.79,25.43,20.15,13.04,203.06,71.49,44.5,40.78,13.84,124.09,-0.21,70.98,35.49,34.66,5.51,0.49,-10.76,86.57,22.89,13.84,35.89,16,84.66,8.64,23.95,-1.06,38.53,4.27,25.17,52.44,7.09,-16.22,-4.07,9.98,11.71,64.3,-10.34,36.51,43.69,7.83,64.51,48.84,33.78,17.36,1.36,18.2,22.4,57.64,23.68,3.09,4.99,5,17.21,0,4.43,9.26,79.65,23.48,21.77,1.69,11.95,53.91,22.45,45.47,49.57,7.79,14.29,6.27,5.45,25.26,-0.55,6.16,4.08,5.36,10.9,25.59,39.49,143.56,12.72,35.26,8.7,98.19,4.15,58.81,35.32,16.57,10.31,30.62,11.05,14.09,9.89,13.67,10.25,5.06,54.24,27.26,0,148.29,224.99,4.45,27.24,11.95,14.98,40.33,26.96,55.13,52.57,119.04,20.33,9.72,6.7,19.51,23.24,3.21,26.13,4.79,0.71,160.38,146.05,15.54,22.44,10.71,9.46,31,23.6,,,
2024-01-04 04:30,37.9,15.68,40.11,2.11,81.97,127.58,102.8,24.3,1.83,1.33,9.99,150.53,163.34,132.48,7.8,88.41,0.55,13.75,-11.15,0,10.65,22.81,5.49,10.59,21.6,0,0,0,8.32,0.77,44.85,7.44,10.24,30.04,0.85,25.96,31.17,129.91,7.91,5.11,9.46,21.32,40.15,10.7,1.89,7.13,25.93,20.03,13.79,203.39,72.42,46.02,41.69,14.12,126.15,0.16,45.13,33.86,35.53,5.25,0.6,-10.41,85.94,22.76,13.87,37.17,16.44,84.88,9.94,22.27,-1.44,39.24,4.15,24.99,52.19,6.21,-16.99,-3.75,10.49,11.72,66.11,-10.44,36.44,42.4,7.55,65.31,48.64,33.6,17.69,1.36,18.57,24.02,57.55,23.47,3.01,5.27,6.88,17.37,0,4.3,9.68,79.67,24.41,20.79,1.69,13.08,55.01,17.95,48.33,47.85,7.78,14.44,6.54,5.1,25.49,-0.5,6.38,4.67,4.95,10.72,25.35,39.66,140.81,12.2,35.18,9.55,99.76,3.71,60.08,33.9,16.83,10.32,30.24,11.12,18.13,10.16,14.74,10.23,4.9,54.68,27.54,0,150.6,222.73,5.16,28.1,11.78,15.19,39.63,26.6,56.4,53.74,117.48,20.82,9.81,6.45,19.62,24.19,3.07,25.62,4.79,0.77,164.37,146.83,15.53,23.08,10.92,9.63,31.42,23.13,,,
2024-01-04 05:00,38.24,15.96,146.76,2.15,81.78,125.41,105.48,22.38,1.81,1.35,9.92,153.38,157.78,135.76,7.7,86.5,0.92,13.92,-11.43,0,10.84,22.35,5.77,9.79,22.01,0,0,0,8.45,0.7,43.17,7.8,10.21,29.77,0.78,25.63,34.38,127.92,7.89,5.25,10.48,22.62,39.94,10.65,2.37,6.97,25.94,20.55,14.19,208.8,74.13,46.22,41.25,14.7,126.65,0.46,43.66,34.01,36.16,5.26,0.87,-10.72,86.54,23.92,13.99,34.68,17.67,82.22,10.3,23.46,-1.35,39.92,4.53,25.13,52.14,7.56,-16.07,-3.52,9.85,11.72,65.96,-9.24,38.69,43.07,7.58,67.76,48.73,35.34,17.95,1.36,18.63,22.71,57.22,22.8,2.89,5.75,5.28,18.48,0,4.74,9.84,79.68,25.51,23.17,1.7,13.54,56.36,19.71,48.98,45.46,7.96,15.51,6.93,5.48,26.25,-0.53,5.73,5.21,5.56,10.98,25.11,40.51,141.14,14.68,35.84,10.79,100.08,3.59,63.05,33.21,16.81,10.5,30.94,11.52,12.73,10.77,14.68,10.79,5.36,55.01,27.85,0,152.32,223.72,4.32,28.08,12.58,15.46,39.87,26.37,56.88,55.49,117.69,21.83,9.78,5.75,19.68,24.74,3.42,25.74,5.46,0.97,163.73,148.29,15.42,24.97,10.46,10.21,30.48,23.14,,,
