fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,Cahuachi,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Chincha,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Cutervo,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Valledel,Yarabamb,Yura,Zorritos,HuarazO,GE1,CTRefTal
2024-01-08 00:30,36.4,16.85,137.31,2.26,66.72,130.37,105.08,24.66,1.68,0.72,11.05,176.6,104.83,118.24,6.89,86.04,0.47,15.15,-10.42,0,12.81,28.72,6.46,10.33,22.39,0,0,8.8,9.18,1.27,46.71,6.8,10.09,30.5,0.85,25.91,28.25,120.87,7.75,6.94,9.03,21.27,35.27,11.2,2.42,5.58,25.35,20.8,13.05,231.49,71.72,47.19,32.07,16.39,122.61,7.64,76.26,29.51,18.2,7.24,0.34,-14.31,80.7,22.7,14.8,36.27,17.93,81.64,14.03,22.26,7.9,45.86,4.19,24.06,45.86,5.18,-15.45,-7.64,13.16,13.84,75.67,-7.14,42.49,43.56,8.65,52.12,35.37,25.85,16.57,1.52,19.16,23.68,54.47,28.41,3.35,5.53,20.47,17.27,0,4.18,8.68,93.68,23.34,28.23,2.02,13.43,49.07,13.73,41.08,27.82,8.92,16.79,6.99,6.93,23.36,-0.81,3.57,4.03,4.89,11,21.66,45.64,138.74,19.02,34.26,10.97,92.5,3.79,39.11,37.22,21.66,12.62,32.86,11.87,16.26,6.84,14.65,10.93,3.36,59.91,28.72,0,153.34,274.66,2.15,28.27,8.13,20.56,42.87,27.02,66.4,63.42,116.1,20.58,12.2,10.5,22.79,14.9,3.35,25.49,6.19,0.3,168.09,157.84,15.42,19.7,2.78,10.38,34.1,28.91,,,
2024-01-08 01:00,38.18,16.11,60.1,2.25,65.74,127.66,106.6,26.15,1.83,1,10.54,168.08,107.65,116.74,6.33,88.98,0.5,14.75,-10.84,0,12.04,30.42,6.33,10.45,22.32,0,0,8.79,9.43,1.31,47.04,7.01,10.12,29.4,1.56,25.87,26.26,142.83,8.03,6.62,9.27,21,35.5,11.42,2.57,5.51,25.14,21.12,12.67,226.04,68.9,46.58,32.19,15.73,119.12,7.46,46.67,29,16.9,8.44,0.1,-14.32,82.52,22.36,14.03,36.3,17.78,81.64,14.47,25.05,7.74,46.69,4.52,23.75,41.85,4.38,-14.56,-8.29,12.37,13.17,72.42,-8.5,40.8,43.83,8.28,50.2,36.19,26.74,16.32,1.36,18.56,22.5,55.5,28.88,3.27,4.88,21.84,17.01,0,4.26,8.41,88.58,23.4,27.6,1.81,12.74,49.87,14.9,46.4,27.73,8.69,15.49,6.72,6.13,22.3,-1.11,3.36,4.16,5.18,10.82,20.66,43.05,136.65,18.86,35,10.59,89.58,3.8,39.7,37.19,19.95,12.28,31.44,11.21,11.74,7,13.69,10.44,2.98,58.37,27.46,0,146.68,263.43,2.65,29.11,9.03,17.46,40.61,25.69,62.6,60.03,107.61,19.98,11.59,10.76,21.29,16.92,3.52,25.04,6.09,0.66,166.26,152.88,15.71,20.17,3.23,10.07,32.9,28.77,,,
2024-01-08 01:30,37.76,16.58,40.89,2.23,64.87,126.82,103.4,24.95,1.8,0.94,10.2,160.63,115.1,114.04,6.5,92.21,0.89,13.27,-11.35,0,11.79,29.65,5.78,10.27,22.17,0,0,8.78,8.69,1.24,48.63,6.95,10.11,29.8,0.84,25.4,25.38,143.54,7.76,6.52,8.66,20.41,35.24,10.88,2.68,5.52,24.99,20.39,12.39,217.02,65.13,44.52,32.19,15.21,115.39,7.58,40.49,27.11,17.07,7.19,-0.07,-14.23,82.21,22.84,13.31,35.46,16.46,81.62,13.26,22.59,7.78,47.63,4.64,23.87,40.3,4.18,-15.64,-8.73,13.52,12.46,69.85,-9.52,39.41,43.24,8.33,50.31,34.19,25.98,14.94,1.4,18.58,23.92,53.6,28.48,3.39,4.89,20.97,15.44,0,3.84,8.03,84.88,23.65,27.72,1.7,12.72,50.33,14.59,41.97,30.04,8.49,15.62,6.95,5.62,21.57,-0.81,3.39,4.09,5.01,10.56,20.77,41.57,136.03,18.28,34.98,10.38,86.89,3.8,37.5,36.99,18.89,12.11,30.55,10.85,6.6,6.99,13.25,10.39,3.16,55.75,26.32,0,141.65,264.81,2.72,28.81,7.67,17.5,39.65,25.34,60.3,57.81,121.74,19.97,10.98,10.4,20.66,17.03,3.33,25.55,5.78,0.5,164.29,148.59,15.34,21.19,2.24,9.73,34.98,28.2,,,
2024-01-08 02:00,36.83,17.93,150.73,2.19,65.41,125.49,103.2,23.05,1.69,1.19,10.54,156.58,108.86,108.84,6.5,83.48,0.91,14.52,-11.27,0,11.56,31.94,5.52,9.91,22.55,0,0,8.94,9.46,1.14,49.23,7.01,10.1,26.1,0.79,25.45,25.79,115.94,7.82,6.66,8.33,15.32,35.55,10.84,2.31,5.53,25.01,19.47,12.24,211.23,64.01,44.87,32.67,14.78,112.65,8.16,56.52,25.79,16.61,7.28,-0.12,-13.98,82.25,23.4,12.58,34.3,17.59,81.64,13.67,23.78,7.95,46.45,4.62,23.8,41.5,2.74,-14.61,-8.1,13.57,12.15,67.49,-9.22,38.16,43.87,8.06,49.26,33.26,25.76,14.44,1.44,18.23,22.21,54.53,29.04,3.09,5.22,20.05,16.19,0,4.03,8.03,83.51,20.89,26.6,1.65,13.15,50.58,17.55,42.04,32.98,8.32,14.8,7.17,5.81,21.28,-1.1,2.83,3.42,5.2,10.34,20.31,40.86,139.06,20.08,34.17,10.3,84.68,3.35,37.14,39.17,17.94,11.84,29.57,10.85,4.34,7.07,12.83,10.37,2.85,55.42,25.53,0,137.83,269.42,2.17,29.75,8.69,17.46,38.94,24.72,59.19,57.89,120.78,19.8,10.56,10.49,20.38,17.64,3.23,24.57,5.6,0.28,163.72,143.86,15.93,22.84,1.17,9.91,33.97,27.86,,,
2024-01-08 02:30,33.23,17.5,106.22,2.15,65.03,126.29,103.71,23.38,1.56,1.13,10.32,153.4,110.61,108.44,6.12,90,0.9,13.94,-11.6,0,11.41,30.27,5.16,9.57,22.67,0,0,8.82,8.62,1.41,48.93,7.04,10.08,26.8,0.78,24.4,26.29,116.72,8,6.45,8.58,14.37,35.47,10.62,2.16,5.57,25.05,19.59,12.19,203.21,62.82,43.99,32.79,14.39,109.44,8.06,38.53,25.67,15.43,7.47,-0.08,-14.44,82.11,24.31,12.14,33.36,16.71,82.94,12.55,24.43,8.17,45.88,4.24,23.9,41.67,3.86,-14.93,-8.83,13.38,11.79,66.1,-11.26,37.21,43.64,7.91,50.07,32.88,25.09,13.93,1.36,18.56,26.22,54.5,28.26,3.18,5.6,19.64,15.93,0,4.15,8.1,82.22,21.21,27.85,1.64,12.24,50.31,15.75,39.5,30.31,7.74,14.8,6.81,5.56,20.4,-1.27,3.25,3.47,5.1,9.97,19.98,39.39,136.51,20.14,34.55,9.33,81.7,3.51,37.07,37.85,17.33,11.42,29.12,10.61,2.98,7.06,11.28,10.26,3.23,53.69,25.23,0,130.77,268.29,2.36,29.23,7.95,17.5,37.68,24.81,56.79,54.34,121.17,19.63,10.12,10.46,19.8,17.92,3.28,24.63,5.59,-0.01,165.29,141.8,15.64,23.94,0.9,10.22,34.98,27.78,,,
2024-01-08 03:00,33.23,15.8,147.6,2.02,64.5,124.69,103.5,24.77,1.55,1.26,10.78,150.34,103.79,101.44,6.47,83.66,0.52,13.65,-12.71,0,11.56,33.47,5.23,9.39,21.95,0,0,8.83,8.7,1.01,47.67,6.95,10.08,31.11,0.84,25.5,24.12,119.1,8.15,6.38,9.33,14.66,35.53,11.04,2.39,5.57,24.24,20.9,11.74,201.4,61.18,43.41,32.61,14.25,107.39,7.33,72.79,25.88,14.77,7.33,0.16,-14.58,82.17,23.65,11.82,32.46,13.84,81.88,12.86,22.54,7.82,46.29,4.34,23.82,40.57,3.68,-15.52,-9.32,13.01,11.35,65.74,-11.02,38.43,45.29,7.49,52.54,32.58,25.34,13.75,1.44,18.74,25.27,54.39,28.35,2.6,5.7,19.52,16.43,0,3.26,8.05,78.28,21.14,25.7,1.77,11.84,50.21,16.84,39.55,26,7.99,14.69,5.4,5.4,20.35,-0.95,3.47,3.24,5.04,9.71,19.49,38.57,132.18,19.86,34.96,9.62,79.53,3.56,37.02,39.22,16.76,11.24,28.59,10.71,12.44,7.25,11.13,10.24,2.96,53.64,24.33,0,130.68,265.1,2.34,28.83,8.55,15.48,37.68,24.15,55.79,52.62,115.26,19.59,10.05,11.1,19.07,18.27,2.95,25.32,5.42,0.33,166.08,137.73,15.85,22.61,-0.05,10.26,33.6,27.27,,,
2024-01-08 03:30,33.82,15.55,138.67,2.34,64.34,125.16,102.28,23.92,1.44,1.31,10.99,150.36,109.15,106.34,6.5,75.49,0.76,13.46,-12.05,0,11.19,31.72,5.11,9.88,22.94,0,0,8.71,8.68,1.48,47.43,6.89,10.11,26.09,0.6,24.85,25.12,116.16,8.27,6.39,10.28,15.75,35.57,11.04,2.33,5.52,24.64,20.84,11.99,199.19,60.95,43.75,32.53,14.15,108.4,7.53,41.16,24.86,17.38,7.73,-0.09,-14.92,82.73,23.3,11.84,32.55,17.11,81.74,14.06,23.41,7.92,47.41,4.28,23.5,41.39,3.66,-14.55,-9.01,12.8,11.3,64.71,-11.12,38.87,43.2,7.58,52.48,31.74,25.03,13.76,1.4,18.76,26.11,54.84,29.15,2.76,5.37,20.23,16.23,0,3.82,8.1,78.24,20.19,26.76,1.63,11.71,50.28,13.51,40.34,28.31,8.01,14.14,6.57,4.53,20.94,-1.2,3.07,3.58,4.86,9.65,19.23,37.83,130.5,19.38,34.49,9.26,79.78,3.56,38.65,37.15,16.47,11.29,28.4,11.05,13.07,7.25,10.27,10.23,2.12,53.16,24.43,0,130.95,272.39,2.29,28.77,8.17,16.43,36.84,24.06,53.75,51.23,116.46,20.04,9.66,10.9,19.19,18.78,3.24,25.42,5.39,0.13,167.83,139.84,15.78,22.75,-0.19,10.1,34.17,26.73,,,
2024-01-08 04:00,36.2,13.67,44.25,2.36,64.03,128.89,102.72,26.02,1.6,1.17,11.11,148.93,104.42,106.44,6.47,78.4,0.85,12.58,-12.18,0,11.36,31.58,5.39,10.1,22.46,0,0,8.84,8.68,1.37,47.4,6.89,10.08,30.43,1.35,24.99,24.37,117.45,8.12,6.35,10.63,14.41,35.1,11.02,2.32,5.54,25.56,20.23,11.85,200.4,59.74,43.31,32.43,14.19,109.3,7.74,87.9,23.95,17.36,7.85,0.11,-14.58,81.75,23.38,11.75,31.98,14.81,81.66,13.78,21.93,7.33,47.56,4.54,23.45,42.13,4.32,-14.82,-8.96,13.3,11.22,66.11,-10.6,38.5,41.16,7.2,51.32,31.32,24.87,13.78,1.36,18.74,26.85,54.45,28.22,2.76,5.49,21.08,9.73,0,3.61,8.4,78.28,21.26,21.87,1.68,11.88,49.96,12.85,36.5,30.99,7.86,14.68,6.51,3.73,21.23,-0.81,3.28,3.72,4.52,9.75,19.44,38.32,133.55,17.86,34.35,9.54,80.96,3.62,35.71,35.46,16.35,11.23,27.98,10.91,15.7,7.51,13.15,10.09,2.52,52.56,24.53,0,129.24,271.63,2.24,28.64,7.71,15.81,37.15,24.33,54.12,52.16,115.74,20.46,9.67,10.5,18.77,24.71,3.02,25.68,5.22,0.26,168.87,135.17,15.3,23.52,-0.15,10.52,33.63,26.28,,,
2024-01-08 04:30,36.8,13.06,44.78,2.2,64.51,125.71,104.59,24.77,1.49,1.26,10.73,151.02,108.11,107.34,6.87,86.09,0.62,12.88,-12.17,0,11.5,31.18,5.54,9.69,23.04,0,0,8.55,8.2,1.46,48.87,7.01,10.11,30.36,1.43,24.69,24.74,118.91,7.96,6.52,8.92,15.35,35.42,10.98,2.48,5.5,24.68,21.05,12.74,202.17,62.02,43.38,32.54,14.56,110.89,7.48,85.24,24.1,18.04,7.84,0.56,-14.37,82.09,23.25,12.16,30.02,15.89,81.92,12.67,23.58,7.34,50.27,4.18,23.41,41.15,6.06,-15.42,-10.43,12.36,11.28,67.42,-10.38,40.05,42.81,7.34,51.99,32.7,25.62,14.02,1.32,19.11,27.46,54.03,28.51,2.73,5.53,20.49,9.12,0,4.05,8.95,78.26,21.1,23.52,1.72,12.4,49.93,13.3,37.01,30.55,7.75,14.78,5.71,3.79,21.2,-1.1,3.38,3.58,4.97,9.68,19.73,38.18,139.15,19.74,34.74,9.64,82.71,3.71,37.36,35.45,16.55,11.25,28.03,11.25,15.55,8.13,13.43,10.07,2.77,53.19,24.07,0,131.08,270.31,2.3,27.74,8.53,16.26,37.06,23.92,54.04,52.91,116.85,20.85,9.6,9.77,18.84,22.12,2.9,25.6,5.68,0.19,168.13,138.91,15.52,21.74,0.17,10.34,33.8,25.11,,,
2024-01-08 05:00,36.89,13.89,153.99,2.22,65.4,125.84,105.62,22.95,1.28,1.02,10.7,153.39,107.32,108.64,7.14,88.1,0.79,14.09,-12.42,0,11.43,31.36,5.24,9.46,23.07,0,0,8.82,9.91,1.46,47.67,7.13,10.07,30.31,0.72,26.14,25.12,121.44,7.94,6.45,9.81,14.89,34.94,11.13,2.31,5.6,24.65,19.75,13.58,201.89,61.99,43.64,32.94,14.87,109.15,7.83,79.72,25.19,17.81,8.34,0.2,-14.1,83.41,23.23,12.27,30.09,16.27,82.1,11.77,20.72,7.17,45.81,4.48,23.47,43.01,4.36,-15.55,-9.07,11.3,11.57,67.21,-10.12,38.93,43.39,7.41,49.6,31.87,25.6,14.56,1.4,19.44,27.44,55.19,28.32,2.92,5.59,20.59,9.62,0,3.98,9.33,78.24,22.61,26.72,1.83,11.96,50.06,13.71,40.29,31.49,7.81,15.19,6.76,4.31,21.76,-0.84,3.57,4.21,5,9.89,20.34,39.22,140.43,19.56,34.76,9.02,85,4.03,36.98,34.89,16.8,11.34,27.86,11.43,11.96,7.56,14.09,10.8,3.15,52.82,25.27,0,134.39,267.92,2.47,28.05,7.81,17.35,37.59,24.14,56.39,54.69,118.77,21.55,9.98,10.05,19.43,21.94,3.11,25.46,5.98,0.26,166.53,138,15.21,22.61,1.9,10.07,33.14,24.96,,,
2024-01-08 05:30,35.7,13.17,155.42,2.18,64.99,130.36,100.85,23.67,1.72,0.74,10.89,160.01,110.94,109.04,7.31,87.08,0.77,14.09,-12.11,0,11.46,28.54,5.28,9.8,22.16,0,0,9.21,9.42,1.29,48.78,7.13,10.1,30.96,0.68,25.36,27.37,121.23,8.23,6.17,9.69,14.17,35.43,11.32,2.46,5.51,24.55,20.07,13.42,208.39,64.78,46.35,32.99,14.61,113.56,8.14,79.59,24.44,18.72,7.72,0.65,-15.4,84.7,22.24,12.9,30.7,15.9,82.42,13.28,23.8,7.62,46.38,4.62,23.39,43.96,4.82,-16.34,-8.88,11.01,12.25,68.56,-8.38,42.84,44.24,7.16,53.19,34.73,27.96,14.57,1.44,18.12,26.02,55.4,28.57,3.29,5.66,20.22,10.43,0,4.23,8.95,78.28,21.76,24.73,1.94,11.88,50.57,11.61,44.81,30.55,7.71,16.66,6.88,4.66,22.44,-0.27,3.04,3.68,5.28,10.05,21.18,40.04,136.41,20.62,34.47,9.23,88.92,3.47,38.06,33.11,17.95,10.17,28.52,10.14,10.86,7.52,13.51,10.77,3.59,56.21,26.53,0,139.49,270.05,2.53,26.89,9.85,17.05,38.56,25.39,59.84,58.85,114.39,22.81,10.56,10.31,19.84,23.98,2.97,24.77,5.74,0.11,165.3,140.24,15.62,21.45,2.69,10.51,28.21,24.78,,,
2024-01-08 06:00,34.43,11.56,58,2.42,65.83,126.92,106.55,23.89,1.73,0.8,11.05,172.22,105.88,113.24,7.66,87.6,0.64,15.42,-11.47,0,12.04,25.44,5.2,9.58,22.65,0,0,8.85,9.31,1.35,48.27,6.89,10.12,30.25,1.34,24.7,24.87,122.44,7.21,5.96,8.76,13.92,35.46,11.87,2.84,6.54,24.77,20.92,14.21,200.22,65.58,45.36,32.77,15.22,109.07,7.78,59.75,25.43,19.2,8.06,-0.5,-14.35,82.97,21.69,14.09,32.6,16.6,82.58,12.82,20.3,7.11,45.58,4.55,23.5,44.61,4.14,-15.63,-7.43,9.78,13.17,63,-8.2,42.57,45.12,6.6,54.59,36.54,29.49,15.39,1.16,18.64,11.11,54.15,28.79,2.42,10.01,21.05,7.13,0,3.98,8.27,83.66,23.2,25.04,1.86,11.6,51.07,11.14,43.74,33,7.57,15.26,6.49,3.45,23.2,-1.04,2.52,3.36,6.83,9.85,22.39,41.6,135.21,18.56,34.45,7.64,92.23,3.14,38.41,33.15,19.81,9.65,28.82,11.52,9.6,7.92,13.57,10.69,3.41,60.48,28.06,0,144.67,263.68,2.29,27.83,9.05,17.64,39.4,25.26,59.71,53.86,115.89,23.42,10.51,9.34,18.72,24.06,3.24,23.22,5.51,-0.23,164.46,148.59,15.59,22.27,3.2,10.19,28.07,24.66,,,
2024-01-08 06:30,33.45,6.41,150.26,2.31,62.38,119.68,98.92,21.05,1.94,0.79,10.8,183.35,104.28,122.52,7.98,85.93,0.93,16.85,-12.15,0,10.68,22.91,5.35,9.95,22.38,0,0,8.81,10.17,1.17,48.81,7.22,10.2,31.09,1.8,25.65,25.77,120.42,7.71,6.28,9.16,14.32,35.44,11.24,2.16,6.9,24.63,21.51,15.95,205.98,70.12,44.32,32.79,17.19,115.5,7.95,63.8,25.97,20.68,7.45,-0.14,-14.7,82.38,19.88,15.04,32.48,19.73,82.1,15.29,20.28,7.03,48.08,4.46,23.07,47.68,3.64,-14.65,-10.76,10.52,14.33,67.45,-5.06,49.26,44.46,7.11,59.48,39.98,30.51,17.16,1.16,19.83,26.56,55.79,27.97,2.69,-1.83,20.17,9.25,0,3.79,8.06,89.92,21.99,25.26,1.95,11.44,50.8,10.42,45.72,31.16,7.53,16.25,6.69,4.59,19.5,-0.75,1.86,4.5,10.54,9.84,25.05,37.78,134.84,19,34.7,7.64,93.08,2.54,38.02,31.9,19.63,10.71,30.19,12,9.53,7.46,14.34,10.65,1.82,65.68,29.46,0,137.85,275.92,1.93,27.93,12.14,18.15,39.02,23.68,65.96,56.46,115.26,24.4,11.9,8.63,20.26,23.89,3.89,24.28,5.38,-0.5,162.68,151.5,15.06,22.17,4.14,10.01,27.64,24.84,,,
2024-01-08 07:00,32.75,6.71,41.52,2.33,63.26,117.64,98.64,23.93,1.77,0.94,11.04,206.63,86.61,131.74,8.45,83.55,1.35,17.57,-11.18,0,10.82,22.4,6.52,10.06,22.02,0,0,8.84,8.23,0.93,49.41,7.73,10.21,30.33,1.64,25.41,24.45,119.14,7.77,6.53,8.82,16.51,35.41,11.43,2.34,6.85,24.12,22.47,17.15,220.55,74.01,43.18,32.26,18.66,122.25,8.15,69.31,26.69,22.75,7.56,0.48,-14.94,83.73,20.99,15.83,32.74,21.88,81.52,13.5,18.06,7.91,51.35,4.36,22.92,46.08,6.64,-15.01,-7.36,10.94,14.7,71.05,-2.52,55.1,41.53,7.32,63.19,45.96,32.41,18.35,1.32,20.73,18.59,54.45,28.03,1.68,13.4,8.3,9.43,0,4.38,8.46,96.19,24.54,19.94,2.18,12.62,53.32,10.85,49.75,21.26,8.04,17.89,7.69,5.26,20.04,-1.13,2.4,3.29,3.77,10.33,25.71,39.5,132.28,18.02,34.74,9.61,97.6,3.36,41.86,31.05,21.29,11.84,33.08,12.71,4.37,8.47,15.42,10.65,2.43,73,32.47,0,147.39,266.09,2.52,28.12,12.42,18.23,39.52,25.3,72.94,59.02,111.66,24.85,13.46,8.32,22.46,26.39,3.58,24.93,6.03,-0.98,162.64,162.89,15.07,21.85,4.64,10.69,26.88,24.53,,,
