fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,Cahuachi,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Chincha,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Cutervo,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Valledel,Yarabamb,Yura,Zorritos,HuarazO,GE1,CTRefTal
2024-01-02 00:30,36.19,16.96,15.74,2.51,52.7,123.86,110.08,25.7,1.69,0.71,7.09,170.42,164.01,133.32,5.53,85.81,0.92,15.9,-10.4,0,11.9,20.02,8.07,9.58,19.06,0,0,7.96,9.38,0.73,35.25,6.54,10.13,30.61,0.85,21.21,29.39,143.53,7.69,7.11,8.76,15.31,39.89,12.17,2.52,5.74,25.04,20.21,8.99,199.44,67.7,31.48,41.68,17.38,121.3,6.33,42.52,29.83,26.81,5.31,0.55,-17.1,86.63,22.48,14.58,37.69,19.58,88.3,6.45,14.96,-2.06,38.44,4.32,24.46,34.43,4.98,-16.69,-0.92,11.63,14.09,66.22,-6.38,31.77,43.71,8.3,47.19,31.85,19.18,21.22,1.44,19.89,23.26,55.92,23.02,3.03,5.43,16.16,10.83,0,4.56,8.23,74.52,17.27,23.53,1.95,14.43,53.99,19.79,46.22,47.38,7.33,17.05,6.99,4.72,19.98,-0.37,3.29,4.02,5.15,9.6,16.69,41.41,142.54,15.96,29.86,13.07,87.55,3.51,61.06,33,20.99,12.58,30.92,11.69,10,8.7,14.53,10.76,2.46,58.97,25.21,0,147.98,229.5,-3.54,26.86,6.87,12.73,23.99,20.73,58.39,45.04,119.7,20.44,11.22,6.93,21.09,14.84,3.85,23.32,5.63,1.08,160.41,133.42,15.62,23.17,2.98,9.99,26.84,26.28,,,
2024-01-02 01:00,35.13,16.61,17.05,2.38,52.7,123.89,109.25,25.45,1.64,0.92,8.59,162.41,164.92,126.8,5.53,90.35,0.52,15.13,-10.77,0,12.21,21.25,7.01,9.82,20.68,0,0,7.98,8.55,1.39,37.35,6.61,10.19,30.72,1.26,20.13,29.34,146.62,7.97,6.83,8.31,14.18,40.31,11.76,2.29,5.77,24.61,20.35,8.91,190.08,64.68,31.01,42.55,16.75,119.32,6.2,42.43,28.45,26.12,6.51,0.45,-16.13,86.34,22.37,13.79,38.08,17.9,86.84,6.79,15.64,-1.92,35.51,4.3,24.24,33.4,4.96,-16.48,-1.97,11.23,13.52,63.18,-7.12,30.89,43.75,7.83,47.1,31.14,19.03,20.58,1.4,19.63,24.16,56.97,22.53,3.2,5.63,16.18,10.83,0,4.84,8.2,71.98,17,24.25,1.7,14.11,53.73,18.25,43.22,47.65,6.93,16.29,6.92,4.22,19.32,-0.32,2.4,4.29,4.94,9.19,16.27,39.18,143.82,14.82,30.25,13.4,82.88,3.02,61.41,32.99,19.79,12.16,29.63,11.87,10.82,8.16,13.64,10.79,2.92,56.98,23.94,0,143.37,232.4,-3.58,27.72,6.78,12.21,21.78,19.92,56.62,43.02,121.05,20.3,10.74,7.29,20.14,15.17,3.72,23.72,5.63,1.07,159.98,129.33,15.85,23.03,3.94,9.35,24.87,25.61,,,
2024-01-02 01:30,34.94,16.27,18.91,2.29,50.71,120.18,105.32,24.35,1.61,0.88,8.77,157.17,160.48,123.72,5.63,88.46,0.59,14.34,-10.51,0,12.09,20.6,6.97,10.22,19.68,0,0,7.7,7.64,0.99,37.11,6.57,10.15,30.26,1.16,19.95,29.39,148.46,8.15,6.63,9.35,14.1,40.11,11.6,2.06,5.67,24.67,20.16,8.53,183.84,61.37,29.34,42.09,16.06,114.88,6.31,89.63,26.65,25.73,5.76,0.48,-16.48,86.52,22.92,12.82,37.81,17.35,85.52,6.92,17.5,-2.14,32.5,4.23,24.33,33.94,4.64,-16.56,-2.57,11.34,12.74,59.58,-8.5,30.23,41.84,7.65,46.93,29.63,18.74,19.76,1.32,19.31,24.44,55.85,23.03,2.82,5.23,14.3,10.05,0,4.1,7.95,69.45,14.65,22.96,1.73,13.29,52.95,18.31,40.96,47.79,6.8,15.7,6.26,3.78,18.42,-0.37,2.35,3.79,4.87,8.94,15.9,37.61,138.95,16.5,29.89,11.91,81.03,3.11,60.83,33.76,18.46,11.81,29.07,11.25,9.72,8.48,13.56,10.48,2.65,55.23,22.7,0,140.9,232.29,-3.57,27.81,6.34,12.44,20.65,18.97,54.56,41.1,122.34,20.44,10.33,7.5,19.4,16.67,3.64,24.02,5.41,0.79,156.53,125.91,15.53,21.6,4.15,10.25,26.92,24.66,,,
2024-01-02 02:00,34.95,16.05,18.61,2.31,51.05,126.57,106.77,24.49,1.98,1.02,9.09,152.91,164.33,121.52,5.47,85.51,0.96,14.54,-9.95,0,11.35,22.46,6.54,9.63,20.04,0,0,7.8,7.18,1.13,36.54,6.43,10.15,29.92,2.81,19.92,28.87,146.03,7.59,6.74,6.11,13.69,39.98,10.98,1.96,5.66,25.47,19.99,8.15,178.35,59.42,28.55,42.27,15.57,112.21,6.49,82.54,26.95,25.45,5.54,0.47,-15.82,87.6,22.07,12.15,38.48,16.72,84.76,6.37,18.84,-2.31,33.03,4.43,24.19,35.07,4.64,-16.32,-2.47,10.21,12.46,58.22,-9.48,29.48,42.02,7.44,46.42,27.34,17.93,19.91,1.04,18.87,23.57,55.95,23.81,3.05,5.42,16,8.95,0,4.17,7.82,65.81,12.94,23.35,1.72,13.06,52.26,21.23,43.09,46.52,6.45,15.08,7.2,2.49,17.99,-0.6,2.63,3.55,5.15,8.92,14.88,36.34,137.17,15.54,29.71,11.46,79.88,3.48,58.58,34.82,17.53,11.32,28.53,10.81,4.17,8.16,12.82,10.45,2.54,53.8,22.67,0,135.59,231.85,-3.61,27.86,6.17,10.01,19.95,18.6,53.28,39.36,121.89,20.29,9.95,7.41,18.02,16.61,3.44,22.9,5.13,0.71,155.82,118.51,15.6,22.06,3.82,9.53,24.29,24.18,,,
2024-01-02 02:30,36.29,17.16,15.94,2.39,51.69,123.45,104.94,23.78,1.99,0.99,9.26,149.2,162.91,113.92,5.63,85.79,0.73,14.06,-11.11,0,10.6,21.67,7.24,9.19,20.18,0,0,7.79,7.48,1.18,31.05,6.31,10.13,26.62,2.61,21.28,29.95,129.08,7.91,6.5,5.87,13.59,40.35,11.35,2.27,5.73,25.08,19.66,8.05,174.05,58.85,28.28,42.03,15.23,108.55,6.34,77.93,27.85,25.82,6.02,0.26,-16.38,85.9,22.45,11.82,38.1,17.8,84.04,6.53,18.72,-2.36,32.86,4.29,23.76,35.45,3.42,-15.65,-2.63,10.51,12.11,56.72,-10.44,29.42,41.47,6.86,47.46,25.01,17.13,19.41,1,19.01,25.16,56.75,23.61,3.28,5.35,14.57,8.04,0,4.48,8,64.46,13.28,26.35,1.69,12.47,53.03,20.13,40.55,50.18,6.56,14.72,6.59,2.04,17.9,-0.89,1.85,3.11,5.15,8.64,14.65,35.89,139.21,15.2,29.75,11.37,79.67,3.08,59.11,32.23,16.96,11.1,27.82,10.57,4.05,8.47,11.52,10.44,2.42,52.15,21.82,0,132.6,234.62,-3.75,28.16,5.06,9.83,19.09,17.93,51.8,37.5,120.57,20.3,9.31,7.81,17.77,16.94,3.82,24.22,5.22,0.88,156.83,119.98,15.97,22.59,4.68,9.78,24.77,23.93,,,
2024-01-02 03:00,34.94,16.32,15.82,2.27,51.98,122.9,107.88,23.67,1.95,1.25,8.77,147.06,162.72,113.62,5.5,89.06,0.61,13.79,-11.25,0,10.97,20.23,6.81,9.61,20.04,0,0,7.76,7.57,1.13,30.93,6.3,10.16,28.85,2.87,20.32,28.79,133.22,7.58,6.52,8.97,13.82,40.05,11.37,2.42,5.64,24.66,20.06,8.08,170.33,57.41,28.38,42.56,15.03,109.19,2.44,81.39,27.7,25.89,6.15,0.77,-17.15,87.26,22.51,11.48,38.87,17.04,87.08,6.13,18.55,-2.47,33.97,4.24,24.09,36.05,3.66,-16.87,-2.54,10.12,11.86,55.2,-10.34,29.03,42.08,7.24,47.02,25.17,17.24,19.19,0.96,18.6,24.73,57.1,24.17,2.88,5.02,6.63,8.48,0,4.06,7.84,64.45,11.38,23.43,1.62,12.23,55.58,18,40.33,48.85,6.47,14.47,6.35,2.83,18.03,-0.95,2.52,3.49,5.05,8.54,15.17,34.82,137.18,15.64,30.17,11.43,78.2,3.67,64.7,33.72,16.43,10.95,27.54,10.49,14.89,9.96,10.62,10.37,2.43,52.24,21.5,0,130.62,223.57,-3.76,27.64,6.07,10.28,18.76,17.76,50.69,37.18,120.27,20.27,9.22,7.99,17.72,17.67,3.53,24.52,5.06,1.42,157.54,117.38,15.59,22.11,3.51,10.14,24.36,23.61,,,
2024-01-02 03:30,34.02,17.4,15.9,2.3,55.11,121.54,107.27,23.69,1.52,1.34,8.59,145.41,159.29,112.12,5.37,75.79,0.39,13.69,-11.16,0,10.38,21.48,7.04,9.9,19.46,0,0,7.91,7.83,0.88,37.68,6.28,10.17,26.3,1.06,21.12,28.32,130.79,8.33,6.5,8.28,14.07,40.18,11.23,2.25,5.76,25.42,19.39,8.17,169.1,55.56,29.01,42.05,14.97,109.15,6.94,85.69,27.04,26.36,5.13,0.53,-16.94,86.22,22.16,11.08,39.12,17.45,85.9,6.37,18.08,-2.56,34.21,4.36,23.95,34.99,3.66,-16.03,-3.5,9.69,11.95,55.04,-10.74,28.22,41.55,7.01,47.85,25.36,17.99,19.23,1.16,18.87,23.45,57.72,24.6,2.67,5.43,15.7,7.98,0,4.37,8.11,63.14,12.02,24.24,1.56,11.97,54.06,18.27,40.18,48.04,6.47,14.37,6.58,4.36,18.42,-1.13,2.59,3.74,5.19,8.46,15.66,35.03,140.36,16.04,29.8,11.26,78.05,3.41,62.09,34.9,16.29,10.86,27.12,10.37,14.49,8.68,9.88,10.34,2.66,52.03,21.76,0,127.17,228.6,-3.81,27.38,6,10.75,18.91,17.56,49.67,35.06,121.59,20.45,9.14,8.15,18.04,18.15,3.58,24.75,5.33,1.21,157.38,115.96,15.86,22.54,3.89,9.92,24.9,23.31,,,
2024-01-02 04:00,35.84,16.8,16,2.3,53.21,129.72,106.57,23.93,1.57,1.04,9.03,144.41,155.03,111.3,5.42,86.07,0.75,13.66,-11.2,0,9.93,21.05,6.09,9.79,19.92,0,0,7.88,8.02,0.84,37.53,5.98,10.19,26.7,0.53,21.2,27.5,132.9,7.53,6.51,9.2,13.91,40.19,11.27,2.12,5.71,25.33,19.83,8.09,167.82,55.54,28.68,41.9,14.94,107.9,6.79,87.87,27.34,26.5,5.75,0.42,-16.52,86.02,22.41,11.09,39.42,17.77,84.38,4.58,16.37,-2.65,33.05,4.36,24.18,35.03,3.96,-15.93,-4,10.31,11.68,53.5,-10.56,38.26,42.84,7,46.93,24.44,17.36,19.19,1.24,19.14,25.4,56.67,24.07,2.66,4.9,16.23,6.81,0,4.31,8.4,61.97,12.78,25.8,1.63,12.3,53.65,20.58,38.95,46.61,6.5,14.41,7.62,4.36,18.25,-0.68,2.63,3.45,5.5,8.37,15.66,34.42,141.42,14.94,30,11.09,80.37,2.26,61.09,33.81,16.02,10.69,27.24,10.55,8.44,9.15,10.66,10.29,2.6,51.3,21.16,0,129.18,209.12,-4.1,27.65,5.12,10.6,18.53,17.67,49.81,37.63,114.03,20.52,8.87,7.68,17.98,18.21,3.49,24.89,5.25,1.39,157.41,115.64,15.6,22.97,3.92,10.1,24.85,23.03,,,
2024-01-02 04:30,36.19,16.53,17.96,2.22,53.3,125.42,106.06,24.18,1.62,1.28,9.28,146.45,165.17,111.9,5.32,85.54,0.39,13.4,-10.77,0,10.14,21.13,5.62,10.19,21.1,0,0,7.84,7.91,1.31,37.92,6.27,10.23,28.6,0.69,21.02,28.71,133.52,7.18,6.65,8.29,14.18,40.16,11.91,2.13,5.73,25.23,19.5,8.49,170.07,56.11,29.14,42.48,15.03,110.49,6.69,40.63,26.56,27.18,6.03,0.79,-16.64,83.66,22.15,11.17,38.25,16.74,86.18,5.87,14.14,-2.5,34.64,4.36,24.07,36.11,4.14,-16.94,-2.78,10.99,11.81,53.52,-9.94,31.35,41.72,6.99,48.36,28.14,17.62,19.38,1.2,18.76,24.85,56.61,24.69,2.9,5.43,14.14,8.77,0,3.76,8.82,60.83,13.91,27.84,1.6,12.2,52.8,21.33,38.58,46.12,6.51,14.91,6.35,4.19,18.63,-0.66,2.82,3.79,5.2,8.45,15.56,35.33,146.35,15.56,30.22,11.3,81.64,3.51,62.29,32.92,16.13,10.67,26.71,10.81,13.23,9.65,13.37,10.45,2.61,51.48,22.1,0,125.82,205.55,-3.66,27.14,5.13,10.57,18.95,17.52,49.81,38.3,114.96,20.85,8.93,7.41,17.88,19.03,3.1,24.7,5.18,1.43,160.07,118.25,15.82,21.81,4.16,10.04,25.04,22.84,,,
2024-01-02 05:00,34.81,17.69,17.76,2.26,53.39,126.68,105.39,23.16,1.48,1.27,9.26,147.19,166.6,111.42,5.5,83.72,0.42,14.02,-10.14,0,10.14,19.44,6.01,9.71,20.69,0,0,7.72,7.63,1.14,38.55,6.33,10.16,26.99,0.89,21.14,29.71,131.57,7.76,6.42,9.13,14.3,40.5,11.67,2.05,5.75,25.24,20.13,9.25,171.7,57.66,28.49,42.54,15.4,108.1,7.71,87.55,26.41,27.05,5.85,0.89,-16.48,85,22.88,11.36,37.76,17.62,86.18,6.75,16.54,-2.62,35.93,4.43,23.91,38.46,4.32,-15.95,-2.26,10.01,11.78,55.14,-9.62,29.86,42,6.89,48.09,28.82,17.15,19.49,1.2,19.39,24.32,56.35,24.31,3.02,5.35,15.14,6.4,0,4.08,9.16,60.83,12.18,25.29,1.66,12.68,53.14,16.79,41.22,47.16,6.49,15.03,6.73,4.65,18.76,-0.85,2.89,3.65,4.98,8.39,16.23,35.66,144.42,16.32,29.91,11.13,81.04,3.83,61.24,33.36,16.42,10.73,27.55,10.79,11.51,9.32,12.88,10.51,2.68,53.09,22.16,0,127.73,187.29,-3.92,27.17,6.63,10.93,19.12,17.83,50.21,40.29,112.05,21.23,9.16,6.96,17.9,19.26,3.52,25.2,5.24,1.23,161.48,120.32,15.98,22.69,3.95,10.22,25.18,22.95,,,
