fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,Cahuachi,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Chincha,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Cutervo,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Valledel,Yarabamb,Yura,Zorritos,HuarazO,GE1,CTRefTal
2024-01-06 00:30,36.11,17.71,142.7,2.55,83.67,124.56,107.15,27.23,1.82,0.8,9.76,183.05,161.47,160.12,7.15,89.94,1.14,16.73,-10.75,0,13.5,31.47,7.88,10.11,30.17,0,0,10.77,9.63,0.32,46.62,7.91,10.19,30.97,2.1,25.02,31.02,138.09,7.89,5.79,8.13,23.58,35.18,10.58,2.5,5.92,25.21,22.47,15.58,251.45,88.11,53.42,31.19,16.82,147.37,0.39,90.77,37.12,23.09,7.27,0.83,-6.39,86.14,22.21,17.43,41.51,18.39,82.22,9.95,21.52,-1.43,40.98,4.46,24.06,54.56,7.01,-14.94,-4.77,12.93,14.23,82.95,-6.88,55.43,45.38,11.06,71.99,55.73,38.44,19.76,1.68,19.57,22.94,55.47,24.98,2.7,5.42,7.15,18.44,0,4.71,8.88,98.89,29.36,22.36,1.85,13.87,53.43,21.63,53.33,47.43,8.86,17.2,8.07,6.3,27.99,-1.27,6.14,3.45,5.14,12.56,25.02,49.36,140.85,18.9,34.31,11.37,111.49,3.77,52.2,34.07,23,12.14,34.18,11.72,13.09,9.11,15.82,11,3.58,63.8,32.58,0,169.62,230.32,5.34,29.39,13.36,15.96,46.37,30.95,67.76,67.56,121.2,21.71,13.1,9.88,23.64,21.35,3.57,26.04,5.12,-0.03,162.45,165.73,15.05,21.84,13.95,9.64,37.06,31.1,,,
2024-01-06 01:00,37.65,16.96,45.27,2.35,82.35,127.33,102.36,29.14,1.58,1.13,9.53,176.23,160.58,155.14,7.26,83.6,1.19,15.79,-11.46,0,13.33,29.87,7.06,10.44,29.54,0,0,10.52,9.71,0.1,46.08,7.82,10.18,30.84,1.12,23.93,30.42,137.9,8.32,5.52,9.53,21.04,35.43,9.45,2.54,5.75,24.99,21.23,15.54,244.42,84,52.01,31.14,16.06,143.11,0.68,65.12,37.03,22.17,6.95,0.67,-5.24,85.79,22.98,16.54,40.79,17.74,83.32,11.64,22.4,-1.85,38.38,4.7,24.11,53.72,6.33,-15.77,-5.98,12.27,13.24,79.88,-8.3,53.66,43.72,10.61,70.2,54.09,36.04,19.35,1.52,18.97,22.99,56.47,25.6,3.12,5.18,6.86,17.27,0,4.61,8.94,96.34,28.41,23.23,1.7,13.1,54.88,18.22,49.73,47.73,8.63,16.19,8.17,6.84,26.55,-1.09,6.26,4.06,4.91,12.27,24.66,47.8,141.29,18.02,34.48,11.97,107.49,3.64,59.87,34.16,21.51,11.76,32.67,11.08,10.29,8.87,14.69,11.06,3.88,61.35,31.35,0,163.27,233.53,5.45,28.97,12.46,16.99,45.33,30.47,64.46,63.86,120.63,21.63,12.42,9.83,22.84,21.88,3.67,26.55,4.98,0.45,162.65,162.22,15.53,21.97,13.06,9.65,37.67,30.48,,,
2024-01-06 01:30,37.4,16.26,147.83,2.55,82.19,121.13,108.29,26.19,1.83,1.24,9.56,168.22,158.7,147.82,7.08,85.01,0.76,15.49,-10.86,0,13.07,30.27,6.87,10.13,29.37,0,0,10.56,9.71,0.13,47.61,7.64,10.2,30.38,1.47,23.39,29.69,137.58,7.74,5.32,8.92,21.2,35.39,10.34,2.51,5.88,25.03,21.29,15.28,233.17,79.97,53.06,30.66,15.84,138.91,0.15,86.58,36.29,20.88,7.15,0.4,-6.06,85.84,22.85,15.73,38.95,17.25,81.06,9.07,21.81,-2.01,40.88,4.57,24.21,53.11,6.53,-13.76,-7.25,11.72,12.66,76.34,-8.86,51.8,43.68,10.73,70.62,53.87,34.98,18.85,1.52,18.68,23.63,56.39,27.61,3.17,5.6,14.04,17.17,0,4.23,8.61,93.78,27.03,22.54,1.82,13.05,52.13,20.25,44.88,47.61,8.51,15.44,7.58,12.58,25.37,-1.51,5.97,3.99,5.44,11.81,24.51,45.13,141.31,17.78,34.02,11.17,105.75,3.78,61.54,33.34,20.61,11.44,31.68,10.64,13.72,8.03,14.16,10.52,3.9,59.31,29.89,0,154.62,219.91,4.44,28.93,12.36,16.4,43.83,29.41,62.65,62.6,122.79,21.3,11.57,9.9,22.55,22.14,3.93,27.05,5.59,0.59,160.98,157.43,15.09,22.41,12.58,10.05,36.65,28.27,,,
2024-01-06 02:00,36.03,16.33,164.41,2.41,82.16,121.15,105.56,27.64,1.7,0.98,9.06,162.8,158.43,144.82,7.24,91.79,1.02,14.37,-11.64,0,11.44,31.26,6.08,9.68,31.31,0,0,10.42,9.88,0.73,47.13,7.37,10.18,30.5,1.42,25.18,29.13,136.55,7.61,5.5,9.49,17.76,35.48,9.63,2.3,5.84,24.93,20.48,15.24,227.6,78.62,49.99,31.45,15.74,134.94,0.36,66.56,34.27,19.58,7.68,0.67,-6.09,84.91,22.78,15.04,44.49,16.49,82.4,10.96,23,-2,39.22,4.28,24.5,53.85,5.72,-14.07,-6.27,11.53,12.26,74.84,-10.22,48.77,43.78,10.36,67.1,52.33,34.1,18.26,1.64,18.48,20.69,56.91,28.41,2.94,5.81,15.76,19.13,0,4.07,8.42,88.66,26.05,25.45,1.69,11.67,52.56,20.53,48.15,46.73,8.71,14.57,7.09,12.45,24.69,-1.02,5.87,3.77,5.68,11.39,24.13,44.2,140.82,18.92,33.67,10.94,103.12,3.81,59.33,33.73,19.23,11.2,31.03,10.68,4.17,7.96,12.44,10.4,3.42,57.53,29.19,0,153.15,228.39,4.11,28.72,12.3,16.42,42.6,28.84,60.26,59.65,122.91,21.05,11.19,10.25,22.14,22.72,3.62,25.58,5.55,0.07,160.11,155.93,15.46,22.55,12.39,9.65,36.79,27.64,,,
2024-01-06 02:30,33.48,16.71,45.24,2.19,82.17,128.02,103.1,27.62,2.22,0.98,9.79,158.13,161.72,142.82,6.94,87.86,1.01,14.16,-11.6,0,12.23,31.67,6.66,10.08,30.76,0,0,10.46,8.69,0.57,47.52,7.42,10.24,29.19,2.19,24.09,30.42,138.15,8.07,5.34,9.96,19.84,35.43,10.39,2.43,5.85,25.09,19.48,15.2,223.32,77.62,50.47,31.44,15.69,135.47,-0.04,81.24,33.61,19.53,7.55,0.33,-6.55,84.57,22.61,14.29,38.76,16.55,84.64,12.01,22.19,-1.87,39.42,4.24,24.31,54.57,4.28,-15.14,-8.03,12.06,11.66,72.95,-9.6,50.45,43.09,9.79,68.54,51.96,35.16,17.98,1.32,18.59,22.25,55.55,28.01,3.21,4.63,15.16,15.04,0,3.98,8.46,88.58,25.39,24.07,1.63,12.64,52.46,20.96,46.47,45.84,8.32,14.77,6.54,12.14,24.66,-1.35,5.88,4.21,5.45,11.05,24.17,42.61,138.35,19.38,33.91,9.87,100.74,3.55,59.06,33.99,18.67,11.1,30.02,10.5,3.95,8.16,11.11,10.26,3.22,56.48,28.95,0,151.65,230.44,4.35,28.89,12.43,16.81,41.92,28.54,58.72,59.62,120.39,20.98,10.64,9.95,16.99,22.6,3.09,26.43,5.4,0.09,165.31,151.88,15.29,22.5,12.49,9.74,36.9,26.23,,,
2024-01-06 03:00,33.44,17.47,158.37,2.33,83.09,129.59,104.73,26.51,1.52,1.23,9.28,154.34,158.6,140.82,7.07,86.67,0.81,13.53,-11.21,0,11.87,31.49,7.16,10.33,31.56,0,0,10.43,9,0.75,47.94,7.19,10.2,25.97,1.82,22.17,28.9,122.13,8.28,5.27,8.74,18.51,35.27,10.23,2.42,2.96,24.71,20.44,14.46,218.23,76.8,51.14,31.63,14.37,134.26,0.3,81.74,32.86,18.25,7.81,0.44,-7.81,84.12,23.36,13.95,42.58,17.59,83.2,9.08,22.84,-1.97,40.33,3.96,24.03,55.08,5.54,-15.26,-9.94,11.99,11.57,70.71,-10.08,48.37,45.58,9.69,64.64,51.36,34.06,17.61,1.44,18.05,24.61,56.83,28.31,3.05,5.22,16.79,13.3,0,4.3,8.41,84.67,23.51,24.53,1.69,12.27,52.36,18.58,47.94,51.31,8.02,14.46,7.47,12.04,24.5,-1.1,5.95,3.47,5.3,10.84,23.88,41.33,143.75,19.8,34,10.69,98.72,3.51,61.25,33.68,17.75,10.94,29.41,10.4,8.36,8.23,10.66,10.23,3.25,55.43,27.95,0,148.56,232.16,4.29,29.38,11.96,15.94,41.26,26.74,56.48,55.23,110.76,20.74,10.46,10.07,21.11,25.18,3.18,26.79,5.36,0.52,164.96,149.03,15.34,23.27,11.27,9.71,36.59,25.97,,,
2024-01-06 03:30,34.9,17.74,153.85,2.24,80.66,123.22,103.52,25.96,1.86,0.53,9.64,152.02,158.86,136.62,7.28,75.74,0.82,14.23,-11.3,0,11.76,30.5,6.52,10.07,30.17,0,0,10.48,8.17,0.22,47.37,6.98,10.2,26.28,1.5,23.79,29.78,119.76,8.08,5.19,9.59,19.92,35.4,10.66,2.2,2.94,26.3,20.6,14.41,215.68,75.57,48.62,31.32,14.22,131.46,1.06,81.13,33.04,20.33,7.08,0.45,-8.26,84.49,23.6,14.04,37.97,17.74,80.36,8.27,22.18,-2.38,40.25,4.25,23.87,54.29,4.18,-14.56,-7.36,13.04,11.5,70.81,-10.78,50.14,45.3,9.61,72.89,49.7,34.12,17.51,1.4,17.71,22.98,55.67,28.94,3.32,5.51,15.1,16.93,0,4.02,8.86,83.35,22.91,21.69,1.64,12.38,52.43,17.8,44.54,48.65,8,14.62,7.06,11.98,24.45,-0.88,6.14,3.85,5.08,10.97,23.73,40.94,139.75,19.56,34.2,10.31,97.35,3.73,60.9,34.34,17.85,10.64,29.14,10.17,14.69,7.69,11.3,10.24,3.42,54.31,27.6,0,147.33,233.59,4.57,29.86,12,16.19,40.66,27.77,56.35,56.07,114.48,21.09,10.12,10.26,20.91,24.38,3.16,27.25,5.05,0.46,162.1,149.29,15.49,22.7,12.36,9.76,37,24.74,,,
2024-01-06 04:00,34.98,17.83,140.56,2.06,80.5,135.66,109.62,25.29,1.53,0.52,9.97,150.49,159.21,136.52,7.21,78.52,0.8,13.49,-10.7,0,11.52,31.66,6.12,9.79,30.11,0,0,10.48,8.23,0.31,47.31,7.01,10.19,29.44,1.94,24.04,29.54,121.29,8.07,5.25,8.41,20.56,35.81,9.79,2.26,4.56,26.43,20.65,14.21,215.25,74.79,48.6,31.53,14.11,130.07,0.18,35.27,33.97,20.89,7.51,0.55,-7.65,85.34,22.5,13.95,39.91,16.94,80.26,10.34,21,-2.13,39.27,4.58,24.03,54.56,4.18,-15.4,-7.06,12.09,11.59,70.28,-10.52,48.29,42.72,9.39,68.02,49.18,36.49,17.48,1.48,18.14,22.73,55.1,29.77,2.94,5.12,15.2,14.58,0,3.77,9.06,83.32,23.43,22.41,1.6,12.41,52.56,19.71,46.51,49.3,8.01,14.38,7.11,12.05,24.9,-1.31,5.98,4.14,5.17,11.05,23.9,40.97,136.55,18.22,33.97,10.24,94.72,3.51,61.79,33.87,17.44,10.66,28.73,10.41,15.38,7.61,14.53,10.23,3.25,53.91,27.71,0,147.88,214.71,5.08,28.68,11.84,15.58,39.91,27.36,55.98,54.68,113.04,21.48,9.87,10.45,20.57,27.38,2.61,25.06,5.11,0.78,164.27,146.69,15.99,24.03,10.75,10.19,36.67,24.71,,,
2024-01-06 04:30,36.63,17.21,160.51,2.37,80.04,125.28,100.76,23.9,1.75,0.87,10.16,149.72,161.41,137.32,7.07,87.83,0.69,13.75,-11.91,0,11.68,30.83,6.15,9.8,30.6,0,0,11.23,6.55,0.52,46.32,7,10.15,31.19,1.42,23.5,29.65,123,8.02,5.22,8.75,21.67,35.63,10.41,2.49,5.77,26.03,20.74,14.94,215.44,74.49,48.91,31.23,14.41,129.75,0.02,80.94,33.86,21.8,7.86,0.9,-7.07,84.29,23.28,14.29,39.53,15.63,82.22,10.1,22.5,-2.02,40.3,4.08,23.87,55.3,7.62,-14.23,-7.21,11.35,11.66,70.8,-9.58,49.95,43.31,9.28,69.03,49.11,34.63,17.82,1.36,18.3,23.81,52.58,28.88,3.15,5.1,6.13,14.27,0,4.12,9.54,83.31,21.54,23.98,1.82,12.97,54.41,20.78,41.38,47.58,8.06,14.77,6.55,12.16,25.98,-0.67,6.15,4.72,5.37,10.78,23.68,41.41,139.82,18.32,34.27,11.42,97.51,3.57,65.62,33.45,17.4,10.64,29.16,10.66,16.52,9.14,15.04,10.22,3.41,54.23,27.58,0,145.73,241.22,4.93,28.24,11.72,15.97,39.74,26.87,55.04,57.86,114.51,21.63,9.78,10.07,20.89,30.66,3.19,24.7,5.12,0.57,164.86,145.6,15.55,23.82,11.24,9.44,36.54,24.59,,,
2024-01-06 05:00,34.07,17.83,84.68,2.07,82.32,128.21,100.89,13.42,1.83,0.67,9.73,151.18,161.77,138.52,7.33,87.4,0.93,14.07,-12.62,0,12.42,29.27,6.09,9.55,32.75,0,0,11.08,9.92,1.12,47.58,7.13,10.16,31.12,1.43,24.61,30.7,123.78,8.23,5.29,8.38,36.13,36.51,11.57,2.36,5.9,26.44,20.86,15,218.85,74.06,51.46,32.49,14.61,129.85,0.48,73.46,34.3,21.8,7.94,0.92,-9.44,83.9,22.89,14.24,44.66,16.46,84.64,13.69,22.18,-1.41,41.27,4.27,23.79,55.97,4.48,-14.33,-6.31,8.58,11.68,71.81,-8.4,45.47,44.13,9.3,66.08,46.67,34.88,18.25,1.6,18.77,23.76,56.89,28.1,3.02,5.53,6.26,16.87,0,4.58,9.98,83.32,21.81,24.6,1.91,12.6,54.69,21.14,47.35,46.83,7.96,13.93,6.63,12.16,26.27,-0.82,6.25,4.28,5.51,10.9,23.51,41.33,147.18,19.28,33.76,10.21,98.16,3.69,64.3,32.45,17.51,10.48,29.5,10.84,15.64,9.46,16.12,10.66,4.4,54.94,27.58,0,150.3,235.12,5.92,27.89,12.75,16.33,40.68,27.53,54.03,57.42,117.09,22.42,9.68,9.7,21.06,25.22,3.25,25.81,5,0.58,166.48,147.13,16.37,23.85,12.91,10.45,36.48,24.57,,,
