fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,Cahuachi,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Chincha,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Cutervo,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Valledel,Yarabamb,Yura,Zorritos,HuarazO,GE1,CTRefTal
2024-01-05 00:30,36.54,17.11,151.74,2.35,82.95,126.52,100.21,25.05,1.68,0.84,9.31,181.24,163.65,161.62,7.6,85.58,0.98,17.05,-11.84,0,13.89,29.52,7.57,9.68,30.46,0,0,11.02,9.19,0.6,42.39,7.96,10.19,30.75,1.69,25.19,30.66,145.08,7.99,5.78,8.97,22.9,35.32,11.76,2.52,7.19,26.03,21.08,14.94,244.28,88.44,52.29,31.16,16.73,140.87,0.44,77.87,37.6,15.97,6.29,0.46,-10.2,83.25,23.21,16.37,33.43,19.81,85.74,10.02,20.75,-1.26,42,4.57,24.07,54.85,6.06,-17.4,-7.53,11.65,13.92,78.91,-6.22,51.68,42.79,10.91,70.12,54.22,36.48,19.7,1.76,19.62,22.75,56.85,24.06,3.45,5.48,15.31,18.78,0,4.66,9.12,97.5,29.51,21.34,1.83,14.06,52.58,24.76,52.56,45.57,8.51,17.53,8.41,7.46,28.39,-0.49,6.04,3.5,4.74,12.58,25.05,47.72,142.97,15.88,35.01,11.29,108.54,3.85,56.96,36.15,23.37,11.55,30.94,12.5,7.01,8.4,15.71,11,4.48,64.32,32.11,0,174.82,224.47,8,28.17,13.71,17.77,45.57,30.42,66.44,67.94,120.27,20.91,12.76,8.78,25.15,19.58,3.57,24.36,7.94,0.51,163.12,171.34,15.29,21.93,12.77,9.31,37.79,29.79,,,
2024-01-05 01:00,35.26,16.79,54.15,2.49,80.49,125.12,100.32,26.91,1.93,0.86,9.18,171.01,161.9,156.02,8.01,84.95,0.79,16.09,-10.35,0,12.97,30.32,5.96,12.17,27.87,0,0,10.98,8.24,0.41,42.6,7.86,10.3,30.61,1.91,24.71,29.21,146.78,8.07,5.44,8.95,22.12,35.33,10.95,2.48,7.37,26.12,20.41,15.03,234.86,82.01,53.7,31.5,15.77,139.95,0.31,35.24,36.28,15.73,5.88,0.33,-7.84,83.71,23.09,15.39,34.28,17.8,81.4,9.84,22.14,-1.44,47.04,4.44,24.29,52.63,5.26,-16.28,-6.81,11.4,13.26,74.15,-7.02,50.71,42.23,10.37,71.12,51.54,36.21,18.66,1.56,18.93,22.92,56.55,22.98,3.04,4.76,14.57,16.13,0,4.86,8.95,93.69,30.29,22.33,1.71,13.88,52.56,20.37,49.03,46.39,8.29,16.99,7.21,6.9,26.62,-0.45,6.69,4.17,6.62,11.84,24.92,45.51,142.29,16,34.69,11.38,105.03,4.2,59.45,34.38,21.44,11.22,29.95,11.85,11.14,8.53,14.64,10.46,4.34,60.21,31.25,0,166.75,219.15,6.86,28.78,12.29,17.42,44.58,29.31,64.55,69.04,125.1,20.67,11.82,8.45,23.59,20.29,3.47,24.48,7.87,0.72,164.27,164.96,15.22,21.51,12.59,9.14,37.62,28.21,,,
2024-01-05 01:30,35.97,16.71,135.53,2.3,80.04,126.55,103.66,23.71,1.65,0.95,9.27,164.65,168.15,149.8,7.86,88.93,0.87,15.31,-11.58,0,12.59,30.01,5.9,9.59,27.34,0,0,10.49,8.54,0.26,43.83,7.44,10.22,30.54,1.2,25.02,29.42,146.58,7.58,5.21,9.47,21.42,35.81,10.93,2.23,9.84,25.32,19.89,12.72,223.48,77.72,49.2,31.08,14.52,131.83,0.22,78.79,35.29,16.71,5.88,0.05,-7.44,84.15,22,14.32,31.8,16.82,84.96,10.97,21.45,-1.89,45.09,4.44,24.11,53.89,5.46,-16.81,-8.61,12.6,12.21,70.12,-8.64,50.98,42.75,10.2,74.66,50.29,35.15,16.32,1.6,18.5,23.3,55.66,23.58,3.31,5.46,15.48,13.15,0,4.62,8.49,91.17,27.03,23.49,1.67,13.02,52.93,20.25,45.54,48.34,8.23,16.54,6.89,8.54,25.6,-0.31,6.02,4.01,4.95,11.69,23.37,42.43,144.95,14.5,34.68,9.43,100.76,3.48,60.53,35.4,20.12,10.85,29.24,11.35,10.16,8.69,14.49,10.38,3.68,57.36,29.52,0,158.48,221.72,7.46,28.75,11.16,18.3,43,28.65,60.75,64.07,123.36,20.58,11.01,8.1,23.31,20.19,3.75,24.73,7.68,0.61,161.2,157.45,15.6,22.67,11.41,9.1,34.14,26.54,,,
2024-01-05 02:00,36.42,18.05,133.37,2.28,81.17,125.04,99.05,24.23,1.64,1,9.76,159.38,164.6,143.32,7.72,86.33,1.07,14.98,-11.87,0,11.06,30.85,6.16,9.88,27.04,0,0,10.73,8.59,0.19,43.74,7.42,10.22,26.51,1.28,25.82,28.42,123.35,8.3,5.3,10.19,20.15,35.37,10.94,2.19,9.79,25.36,20.58,12.86,217.76,77.3,48.3,31.17,14.02,128.55,0.68,86.52,35.08,15.29,5.45,-0.01,-7.95,84.64,22.98,13.63,33.03,18.43,85.76,11.73,22.04,-1.79,45.37,4.23,24.08,54.96,5.5,-16.4,-9.38,12.24,11.86,67.56,-8.46,46.85,44.64,9.97,68.54,49.43,35.37,17.53,1.52,18.5,22.91,55.84,23.45,3.3,5.59,15.84,12.66,0,4.91,8.32,88.57,24.01,22.44,1.69,12.97,52.32,21.07,43.28,50.91,7.97,16.04,7.33,8.2,25.48,-0.25,6.18,4.11,5.22,11.67,23.89,41.23,143.92,13.84,34.8,11.29,99.08,3.99,57.17,36.02,18.91,10.68,28.88,11.1,4.49,8.61,12.54,10.39,4.38,56.24,28.95,0,156.42,232.52,6.49,28.65,11.88,14.88,42,27.85,59.57,62.66,122.97,20.36,10.84,7.91,22.38,20.02,3.54,25.18,6.87,0.12,158.08,154.81,15.29,24.38,11.28,9.26,36.01,25.16,,,
2024-01-05 02:30,35.62,17.07,161.13,2.27,80.02,124.76,98.62,23.39,1.76,0.85,9.16,155.84,166.33,139.92,7.8,89.07,0.99,14.33,-12.17,0,11.02,30.58,6,9.46,26.56,0,0,10.41,7.93,0.05,42.45,7.5,10.27,25.62,1.15,24.92,29.43,122.76,8.13,5.17,10.75,20.06,35.62,10.76,2.17,6.07,25.43,19.26,13.92,211.74,75.62,47.81,30.83,13.93,128.08,0.36,72.78,34.51,14.18,5.29,0.24,-8.78,83.18,21.91,13.29,34.43,18.87,83.24,8.85,21,-2.02,44.77,4.24,23.96,55.18,5.44,-16.74,-9.09,11.28,11.44,66.03,-9.08,44.94,43.14,9.8,66.17,49.03,35.54,17.57,1.56,18.51,24.61,54.11,23.49,3.25,5.47,15.91,13.02,0,4.78,8.77,84.94,22.5,25.41,1.7,13.23,51.81,20.84,41.81,51.77,8.19,14.91,6.79,8.52,24.89,-0.39,5.69,3.73,4.7,11.3,22.94,40.09,143.58,13.42,34.61,10.44,97.66,3.49,58.04,36.13,18.62,10.54,28.26,10.84,4.56,8.64,11.5,10.36,3.92,55.56,28.72,0,150.42,225.81,6.87,28.67,12.71,15.84,41.19,27.71,58.04,59.83,123.93,20.27,10.44,8.17,21.56,20.49,3.27,25.76,6.71,0.24,159.36,152.95,15.48,25.65,11.98,9.21,35.97,23.89,,,
2024-01-05 03:00,35.33,17.79,147.09,2.21,81.22,128.88,98.22,23.56,1.79,0.99,9.62,152.97,163.35,136.22,8.04,74.58,0.62,13.59,-11.28,0,11.3,31.41,5.1,10.59,25.73,0,0,10.44,7.38,-0.17,43.98,7.45,10.25,26.54,1.14,24.06,28.94,124.62,7.66,5.12,9.91,19.88,35.61,10.29,1.59,7.29,25.1,20.32,14.05,209.98,74.99,49.33,31,13.75,126.5,0.31,64.72,33.85,16.13,6.01,0.26,-7.45,83.58,21.84,12.95,30.57,17.3,84.44,8.44,21.56,-2.09,45.82,4.31,23.95,55.72,4.56,-17.12,-9.45,10.44,11.49,65.7,-10.12,42.73,42.92,9.75,60.23,49.16,33.95,16.78,1.48,18.36,24.15,53.8,23.97,3.36,5.06,15.51,13.22,0,4.1,8.72,84.96,22.24,21.96,1.61,12.97,52.65,20.62,44.97,50.72,7.91,14.57,6.5,7.82,25.02,-0.47,7.22,3.48,5.11,11.35,23.09,39.39,138.86,13.68,35.1,10.15,96.94,4.62,60.15,36.34,17.72,10.23,27.42,10.8,15.38,8.42,10.54,10.43,4.02,54.99,28.13,0,152.59,226.79,6.88,29.71,12.32,16.44,40.9,27.16,56.89,58.62,122.52,19.98,10.13,8.6,21.39,22.14,3.26,27.01,6.48,0.43,157.3,148.13,15.62,25.04,10.95,9.22,37.13,23.97,,,
2024-01-05 03:30,34.09,17.73,36.95,2.22,80.8,129.7,100.04,26.4,1.62,0.88,9.72,151.69,167.49,138.82,7.88,75.26,0.68,14.16,-11.92,0,10.95,31.24,5.39,9.83,27.56,0,0,10.51,7.48,0.33,45.03,7.33,10.23,25.46,1.85,25.18,29.42,122.85,8.06,5.17,10.03,20,35.56,11.37,2.2,6.09,25.22,20.22,14.13,209.13,74.2,49.54,31.37,13.69,125.95,0.22,42.55,34.06,17.3,5.53,-0.05,-7.01,85.77,22.09,12.87,34.02,18.25,83.92,9.96,21.32,-2.25,44.38,4.26,23.74,54.24,4.24,-17.19,-9.37,11.35,11.41,64.57,-9.68,45.81,43.34,9.38,68.26,49.7,33.77,17.16,1.52,18.06,23.04,54.44,24.04,3.15,5.02,15.17,12.39,0,4.66,8.77,82.26,22.91,25.88,1.51,12.72,53.33,24.6,43.9,50.73,8.11,15.31,6.92,7.75,25.26,-0.34,5.85,3.83,5.03,10.97,22.89,38.88,143.07,15.02,34.67,10.45,96.93,3.5,60.73,36.87,17.48,10.05,27.53,11.12,13.28,8.67,10.93,10.35,4.01,55.01,28.14,0,150.52,230.41,6.94,28.98,13.02,15.02,40.54,26.84,56.35,58.75,121.59,20.43,10.12,8.35,21.3,22.12,2.99,25.97,6.58,0.43,166.73,152.15,15.54,25.59,11.03,9.29,36.59,23.75,,,
2024-01-05 04:00,35.2,17.27,146.69,2.33,82.39,124.93,101.87,24.83,1.44,1.05,9.73,150.21,163.27,138.12,7.89,85.53,0.68,14.31,-11.63,0,10.92,32.09,5.69,9.23,26.41,0,0,10.51,7.86,0.02,43.23,7.14,10.18,29.13,1.1,25.77,29.91,125.27,8.56,5.23,10.81,20.02,35.59,10.5,2.15,7.24,25.7,19.74,13.93,207.54,72.68,50.76,31.14,13.82,122.47,0.27,81.02,34.48,18.69,5.54,0.11,-7.51,85.52,22.08,12.73,33.41,16.93,82.64,11.12,19.78,-2.07,46.33,4.14,23.42,55.09,4.9,-16.41,-9.23,12.26,11.35,64.12,-9.6,45.41,42.14,9.24,64.07,49.53,34.43,17.51,1.6,17.87,23.07,54.64,23.73,3.45,5.45,15.76,11.55,0,4.68,9.32,81.1,21.78,25.8,1.48,13.04,52.83,20.86,43.54,48.01,7.91,15.58,6.66,8.28,25.16,-0.38,5.61,3.74,5.07,11.06,22.53,38.86,139.46,13.8,34.82,10.76,96.66,3.41,61.51,34.1,17.31,9.89,27.82,10.86,12.69,9.11,12.82,10.38,4.1,54.75,28.14,0,144.91,225.71,6.71,27.86,12.02,14.96,40.61,26.91,55.34,58.6,116.52,20.56,9.78,8.08,21.37,22.98,3.26,25.98,6.44,0.22,162.17,150.48,15.44,24.49,11.29,9.1,36.56,23.55,,,
2024-01-05 04:30,36.97,17.14,53.84,2.43,81.38,125.59,100.89,24.99,1.88,1.12,10.17,151.26,163.25,139.52,7.84,88.11,0.53,13.43,-11.54,0,10.84,33.33,5.28,9.92,27.01,0,0,10.46,8.03,0.17,44.73,7.17,10.24,30.01,1.4,25.57,29.63,121.54,8.17,5.17,10.34,20.28,35.55,10.49,2.11,6.28,25.93,21.43,14.92,211.12,73.18,48.12,31.13,13.98,126.27,0.52,77.98,34.21,19.23,5.53,0.53,-8,86.34,21.9,13.06,33.57,16.52,86.5,9.39,21.74,-1.86,45.97,4.27,23.44,55.45,5.34,-16.52,-9.71,11.13,11.56,65.02,-9.88,44.94,42.99,9.3,66.02,48.71,35.98,17.54,1.48,18.43,23.43,54.05,23.98,3.23,6.02,14.87,12.11,0,4.76,9.83,81.11,22.37,22.96,1.46,13.17,52.15,21.03,42.82,48.91,8.28,15.84,7.23,8.07,24.89,-0.46,6.08,4.42,5.03,11.32,23.52,39.12,137.3,13.3,35.23,11.02,96.99,4.1,61.89,33.57,17.32,10.15,27.59,10.94,16.42,9.31,14.23,10.37,5.84,54.29,28.38,0,143.21,230.22,6.68,28.47,12.18,16.07,40.66,26.94,55.34,59.75,117.78,21.56,9.77,8.18,21.09,23.73,3.38,26.55,5.6,0.54,163.86,151.61,15.49,24.19,10.79,9.29,36.22,24.36,,,
2024-01-05 05:00,37.1,17.37,122.71,2.42,80.67,126.97,101,18.52,1.77,1.06,9.23,153.79,162.76,138.5,8.07,85.84,1.08,14.13,-12.54,0,11.75,30.32,6.43,9.81,25.79,0,0,10.49,8.65,-0.15,44.58,7.3,10.25,30.27,1.12,25.64,29.77,123.23,7.81,5.45,9.78,20.45,35.87,10.74,2.18,9.29,25.42,21.57,14.8,211.91,73.94,48.43,30.74,14.28,128.71,0.47,77.36,33.22,20.96,4.64,0.73,-7.84,85.02,21.89,13.41,35.56,17.54,87.62,12.6,18.92,-1.86,45.62,4.38,23.53,56.02,4.14,-16.65,-9.28,9.66,11.52,66.28,-9.34,43.21,44.75,9.05,66.36,49.19,35.65,17.82,1.56,19.02,23.15,54.4,24.06,3.49,5.97,16.54,13.48,0,4.56,10.28,81.11,22.18,29.83,1.53,13.03,53.66,22.03,46.42,50.07,8.26,16.1,6.44,8.88,25.25,-0.36,6.43,4.12,5,11.35,23.94,39.32,139.87,14.44,34.79,10.6,98.54,3.91,61.3,33.75,17.64,10.67,27.76,11.8,8.97,8.78,14.85,10.83,6.59,55.18,28.6,0,144.64,229.78,6.74,27.79,13.04,15.73,40.59,26.91,55.92,60.49,117.09,21.77,10.03,6.98,21.57,24.15,3.47,27.63,5.57,0.43,164.64,153.86,15.76,24.24,11.21,9.16,35.94,24.29,,,
2024-01-05 05:30,36.91,17.62,143.84,2.44,79.94,127.49,98.36,22.15,1.68,1.22,8.93,160.63,162.39,141.9,8.06,88.46,0.54,16.17,-11.75,0,11.42,27.26,6.38,9.63,26.48,0,0,11.04,9.33,0.03,43.53,7.38,10.21,31.08,1.27,25.89,29.74,123.03,7.91,5.11,9.47,20.96,35.76,11.32,2.25,9.69,25.7,19.78,15.25,220.08,75.01,47.14,31.03,14.81,129.92,0.28,39.31,34.87,18.93,5.6,0.44,-6.7,85.69,21.96,14.06,28.8,17.26,86.76,14.05,21.42,-0.79,45.57,4.06,23.65,57.11,6.2,-16.59,-9.2,8.85,11.93,69.49,-7.84,44.21,44.61,8.52,64.48,49.93,35.31,18.15,1.56,19.54,23.34,54.97,24.17,3.03,5.44,5.23,13.93,0,4.97,10.1,82.23,23.69,29.53,1.24,13.65,54.68,21.9,49.9,50.58,7.61,16.86,6.1,8.77,26,-0.73,6.06,4.09,5.4,10.42,24.47,41,137.71,14.82,35.26,11.36,101.97,3.93,64.23,32.57,18.97,9.67,28.51,11.3,21,10.23,13.99,10.7,6.93,57.34,29.34,0,151.55,228.32,6.15,27.78,13.24,17.12,41.31,27.65,58.27,63.76,116.31,22.54,10.43,7.03,21.56,25.03,3.25,27.08,5.72,0.37,163.81,157.49,15.69,24.7,11.93,9.27,36.78,24.34,,,
